Date,BTC-USD
2017-01-01,998.3250122
2017-01-02,1021.75
2017-01-03,1043.839966
2017-01-04,1154.72998
2017-01-05,1013.380005
2017-01-06,902.2009888
2017-01-07,908.585022
2017-01-08,911.1989746
2017-01-09,902.8280029
2017-01-10,907.6790161
2017-01-11,777.757019
2017-01-12,804.8339844
2017-01-13,823.9840088
2017-01-14,818.4119873
2017-01-15,821.7979736
2017-01-16,831.5339966
2017-01-17,907.9379883
2017-01-18,886.617981
2017-01-19,899.072998
2017-01-20,895.026001
2017-01-21,921.7890015
2017-01-22,924.6729736
2017-01-23,921.0120239
2017-01-24,892.6870117
2017-01-25,901.5419922
2017-01-26,917.5859985
2017-01-27,919.75
2017-01-28,921.5900269
2017-01-29,919.4959717
2017-01-30,920.382019
2017-01-31,970.4030151
2017-02-01,989.0230103
2017-02-02,1011.799988
2017-02-03,1029.910034
2017-02-04,1042.900024
2017-02-05,1027.339966
2017-02-06,1038.150024
2017-02-07,1061.349976
2017-02-08,1063.069946
2017-02-09,994.3829956
2017-02-10,988.6740112
2017-02-11,1004.450012
2017-02-12,999.1810303
2017-02-13,990.6420288
2017-02-14,1004.549988
2017-02-15,1007.47998
2017-02-16,1027.439941
2017-02-17,1046.209961
2017-02-18,1054.420044
2017-02-19,1047.869995
2017-02-20,1079.97998
2017-02-21,1115.300049
2017-02-22,1117.439941
2017-02-23,1166.719971
2017-02-24,1173.680054
2017-02-25,1143.839966
2017-02-26,1165.199951
2017-02-27,1179.969971
2017-02-28,1179.969971
2017-03-01,1222.5
2017-03-02,1251.01001
2017-03-03,1274.98999
2017-03-04,1255.150024
2017-03-05,1267.119995
2017-03-06,1272.829956
2017-03-07,1223.540039
2017-03-08,1150
2017-03-09,1188.48999
2017-03-10,1116.719971
2017-03-11,1175.829956
2017-03-12,1221.380005
2017-03-13,1231.920044
2017-03-14,1240
2017-03-15,1249.609985
2017-03-16,1187.810059
2017-03-17,1100.22998
2017-03-18,973.8179932
2017-03-19,1036.73999
2017-03-20,1054.22998
2017-03-21,1120.540039
2017-03-22,1049.140015
2017-03-23,1038.589966
2017-03-24,937.5200195
2017-03-25,972.7789917
2017-03-26,966.7249756
2017-03-27,1045.77002
2017-03-28,1047.150024
2017-03-29,1039.969971
2017-03-30,1026.430054
2017-03-31,1071.790039
2017-04-01,1080.5
2017-04-02,1102.170044
2017-04-03,1143.810059
2017-04-04,1133.25
2017-04-05,1124.780029
2017-04-06,1182.680054
2017-04-07,1176.900024
2017-04-08,1175.949951
2017-04-09,1187.869995
2017-04-10,1187.130005
2017-04-11,1205.01001
2017-04-12,1200.369995
2017-04-13,1169.280029
2017-04-14,1167.540039
2017-04-15,1172.52002
2017-04-16,1182.939941
2017-04-17,1193.910034
2017-04-18,1211.670044
2017-04-19,1210.290039
2017-04-20,1229.079956
2017-04-21,1222.050049
2017-04-22,1231.709961
2017-04-23,1207.209961
2017-04-24,1250.150024
2017-04-25,1265.48999
2017-04-26,1281.079956
2017-04-27,1317.72998
2017-04-28,1316.47998
2017-04-29,1321.790039
2017-04-30,1347.890015
2017-05-01,1421.599976
2017-05-02,1452.819946
2017-05-03,1490.089966
2017-05-04,1537.670044
2017-05-05,1555.449951
2017-05-06,1578.800049
2017-05-07,1596.709961
2017-05-08,1723.349976
2017-05-09,1755.359985
2017-05-10,1787.130005
2017-05-11,1848.569946
2017-05-12,1724.23999
2017-05-13,1804.910034
2017-05-14,1808.910034
2017-05-15,1738.430054
2017-05-16,1734.449951
2017-05-17,1839.089966
2017-05-18,1888.650024
2017-05-19,1987.709961
2017-05-20,2084.72998
2017-05-21,2041.199951
2017-05-22,2173.399902
2017-05-23,2320.419922
2017-05-24,2443.639893
2017-05-25,2304.97998
2017-05-26,2202.419922
2017-05-27,2038.869995
2017-05-28,2155.800049
2017-05-29,2255.610107
2017-05-30,2175.469971
2017-05-31,2286.409912
2017-06-01,2407.879883
2017-06-02,2488.550049
2017-06-03,2515.350098
2017-06-04,2511.810059
2017-06-05,2686.810059
2017-06-06,2863.199951
2017-06-07,2732.159912
2017-06-08,2805.620117
2017-06-09,2823.810059
2017-06-10,2947.709961
2017-06-11,2958.110107
2017-06-12,2659.629883
2017-06-13,2717.02002
2017-06-14,2506.370117
2017-06-15,2464.580078
2017-06-16,2518.560059
2017-06-17,2655.879883
2017-06-18,2548.290039
2017-06-19,2589.600098
2017-06-20,2721.790039
2017-06-21,2689.100098
2017-06-22,2705.409912
2017-06-23,2744.909912
2017-06-24,2608.719971
2017-06-25,2589.409912
2017-06-26,2478.449951
2017-06-27,2552.449951
2017-06-28,2574.790039
2017-06-29,2539.320068
2017-06-30,2480.840088
2017-07-01,2434.550049
2017-07-02,2506.469971
2017-07-03,2564.060059
2017-07-04,2601.639893
2017-07-05,2601.98999
2017-07-06,2608.560059
2017-07-07,2518.659912
2017-07-08,2571.340088
2017-07-09,2518.439941
2017-07-10,2372.560059
2017-07-11,2337.790039
2017-07-12,2398.840088
2017-07-13,2357.899902
2017-07-14,2233.340088
2017-07-15,1998.859985
2017-07-16,1929.819946
2017-07-17,2228.409912
2017-07-18,2318.879883
2017-07-19,2273.429932
2017-07-20,2817.600098
2017-07-21,2667.76001
2017-07-22,2810.120117
2017-07-23,2730.399902
2017-07-24,2754.860107
2017-07-25,2576.47998
2017-07-26,2529.449951
2017-07-27,2671.780029
2017-07-28,2809.01001
2017-07-29,2726.449951
2017-07-30,2757.179932
2017-07-31,2875.340088
2017-08-01,2718.26001
2017-08-02,2710.669922
2017-08-03,2804.72998
2017-08-04,2895.889893
2017-08-05,3252.909912
2017-08-06,3213.939941
2017-08-07,3378.939941
2017-08-08,3419.939941
2017-08-09,3342.469971
2017-08-10,3381.280029
2017-08-11,3650.620117
2017-08-12,3884.709961
2017-08-13,4073.26001
2017-08-14,4325.129883
